Date,Open,High,Low,Close,Adj Close,Volume
2022-01-14,28246.990234,28252.960938,27889.210938,28124.279297,28124.279297,82100000
2022-01-17,28332.720703,28449.990234,28274.179688,28333.519531,28333.519531,54500000
2022-01-18,28451.339844,28690.339844,28129.660156,28257.250000,28257.250000,71300000
2022-01-19,27928.890625,27958.169922,27314.410156,27467.230469,27467.230469,84300000
2022-01-20,27401.429688,27882.529297,27217.589844,27772.929688,27772.929688,74000000
2022-01-21,27404.359375,27586.419922,27129.609375,27522.259766,27522.259766,72700000
2022-01-24,27258.449219,27627.599609,27203.330078,27588.369141,27588.369141,61000000
2022-01-25,27466.820313,27493.750000,26890.939453,27131.339844,27131.339844,77000000
2022-01-26,27105.980469,27184.539063,26858.679688,27011.330078,27011.330078,60500000
2022-01-27,27139.880859,27193.589844,26044.519531,26170.300781,26170.300781,88700000
2022-01-28,26429.849609,26764.849609,26289.689453,26717.339844,26717.339844,76000000
2022-01-31,26690.599609,27134.570313,26541.650391,27001.980469,27001.980469,78300000
2022-02-01,27167.140625,27410.789063,27016.710938,27078.480469,27078.480469,81100000
2022-02-02,27302.990234,27564.619141,27289.160156,27533.599609,27533.599609,85200000
2022-02-03,27330.960938,27357.330078,27165.929688,27241.310547,27241.310547,81100000
2022-02-04,27095.900391,27455.980469,27075.990234,27439.990234,27439.990234,79600000
2022-02-07,27327.630859,27369.679688,27085.320313,27248.869141,27248.869141,77100000
2022-02-08,27318.300781,27461.330078,27280.250000,27284.519531,27284.519531,76600000
2022-02-09,27488.650391,27633.099609,27405.880859,27579.869141,27579.869141,93500000
2022-02-10,27818.099609,27880.699219,27575.070313,27696.080078,27696.080078,82900000
2022-02-14,27305.919922,27325.500000,26947.650391,27079.589844,27079.589844,79800000
2022-02-15,27183.560547,27205.199219,26724.910156,26865.189453,26865.189453,76200000
2022-02-16,27269.050781,27486.089844,27227.240234,27460.400391,27460.400391,64100000
2022-02-17,27431.419922,27438.740234,27080.919922,27232.869141,27232.869141,67800000
2022-02-18,26895.160156,27216.160156,26792.539063,27122.070313,27122.070313,63500000
2022-02-21,26771.580078,26998.470703,26549.000000,26910.869141,26910.869141,52900000
2022-02-22,26515.449219,26550.140625,26243.730469,26449.609375,26449.609375,67300000
2022-02-24,26281.349609,26357.580078,25775.640625,25970.820313,25970.820313,93500000
2022-02-25,26213.199219,26481.599609,26160.189453,26476.500000,26476.500000,77600000
2022-02-28,26457.519531,26644.560547,26262.630859,26526.820313,26526.820313,91100000
2022-03-01,26836.740234,27013.259766,26821.750000,26844.720703,26844.720703,74000000
2022-03-02,26532.199219,26585.300781,26313.720703,26393.029297,26393.029297,87700000
2022-03-03,26628.869141,26704.849609,26496.720703,26577.269531,26577.269531,74800000
2022-03-04,26421.849609,26421.849609,25774.279297,25985.470703,25985.470703,93500000
2022-03-07,25634.089844,25640.410156,25006.259766,25221.410156,25221.410156,105400000
2022-03-08,24974.349609,25291.330078,24767.330078,24790.949219,24790.949219,114700000
2022-03-09,24876.490234,25084.080078,24681.740234,24717.529297,24717.529297,91500000
2022-03-10,25108.470703,25720.310547,25099.849609,25690.400391,25690.400391,95200000
2022-03-11,25495.029297,25503.650391,24966.500000,25162.779297,25162.779297,89600000
2022-03-14,25338.640625,25631.009766,25299.640625,25307.849609,25307.849609,72600000
2022-03-15,25228.529297,25441.669922,25219.130859,25346.480469,25346.480469,73200000
2022-03-16,25574.900391,25824.939453,25470.460938,25762.009766,25762.009766,82300000
2022-03-17,26170.380859,26702.939453,26152.890625,26652.890625,26652.890625,89600000
2022-03-18,26649.500000,26862.429688,26592.980469,26827.429688,26827.429688,108200000
2022-03-22,27091.320313,27284.470703,27076.330078,27224.109375,27224.109375,98000000
2022-03-23,27606.789063,28056.199219,27604.369141,28040.160156,28040.160156,88200000
2022-03-24,27693.769531,28110.390625,27624.619141,28110.390625,28110.390625,71600000
2022-03-25,28338.810547,28338.810547,27946.789063,28149.839844,28149.839844,67400000
2022-03-28,28084.080078,28084.080078,27812.669922,27943.890625,27943.890625,65300000
2022-03-29,28173.429688,28252.419922,28063.919922,28252.419922,28252.419922,77700000
2022-03-30,28250.800781,28281.449219,27736.269531,28027.250000,28027.250000,83400000
2022-03-31,27809.970703,28101.679688,27763.960938,27821.429688,27821.429688,78600000
2022-04-01,27624.109375,27738.310547,27399.480469,27665.980469,27665.980469,66800000
2022-04-04,27685.650391,27754.240234,27578.810547,27736.470703,27736.470703,50300000
2022-04-05,27965.939453,27965.939453,27662.279297,27787.980469,27787.980469,64300000
2022-04-06,27533.880859,27549.669922,27214.609375,27350.300781,27350.300781,68700000
2022-04-07,27032.419922,27042.490234,26801.789063,26888.570313,26888.570313,71100000
2022-04-08,27097.050781,27185.230469,26764.359375,26985.800781,26985.800781,78100000
2022-04-11,26877.599609,27004.500000,26720.460938,26821.519531,26821.519531,73500000
